"Enid, OK",OK,193917.0
"Ozark, AL",AL,193317.0
"Mount Pleasant, MI",MI,193267.0
"Spencer, IA",IA,192950.0
"Somerset, PA",PA,192167.0
"Decatur, IN",IN,192133.0
"Morgan City, LA",LA,192050.0
"Duncan, OK",OK,191800.0
"Muskogee, OK",OK,191660.0
"Jamestown, ND",ND,191300.0
"Lumberton, NC",NC,191117.0
"Rockford, IL",IL,191000.0
"Big Spring, TX",TX,190958.0
"Athens, OH",OH,190633.0
"Wahpeton, ND",ND,189950.0
"Lima, OH",OH,189767.0
"Springfield, OH",OH,189667.0
"Altus, OK",OK,189583.0
"Muscatine, IA",IA,189433.0
"Cumberland, MD",MD,189383.0
"Sayre, PA",PA,189083.0
"Battle Creek, MI",MI,188650.0
"Fremont, OH",OH,188467.0
"Carroll, IA",IA,188467.0
"Union City, TN",TN,187950.0
"Fairmont, WV",WV,187883.0
"Beckley, WV",WV,187667.0
"Arkadelphia, AR",AR,186833.0
"Jennings, LA",LA,186783.0
"Atmore, AL",AL,186633.0
"Beatrice, NE",NE,185967.0
"Meadville, PA",PA,185633.0
"Greenville, OH",OH,185483.0
"Dixon, IL",IL,185433.0
